source,target,tgt_lng,src_lng,name_code_id
萩風,萩风,zh-CN,ja,131
蒼龍,苍龙,zh-CN,ja,93
蒼龍(META),苍龙·META,zh-CN,ja,205
親潮,亲潮,zh-CN,ja,135
谷風,谷风,zh-CN,ja,127
赤城ちゃん,小赤城,zh-CN,ja,170
追風,追风,zh-CN,ja,192
量産型アオバ級,青叶级量产型,zh-CN,ja,114
量産型イスズ級,五十铃量产型,zh-CN,ja,112
量産型カゲロウ級,阳炎级量产型,zh-CN,ja,107
量産型カゲロウ級.verAI,阳炎级量产型.verAI,zh-CN,ja,171
量産型クマ級,球磨级量产型,zh-CN,ja,123
量産型シラツユ級,白露级量产型,zh-CN,ja,106
量産型センダイ級,川内级量产型,zh-CN,ja,111
量産型タカオ級,高雄级量产型,zh-CN,ja,116
量産型ナガラ級,长良级量产型,zh-CN,ja,110
量産型フソウ級.verAI,扶桑级量产型.verAI,zh-CN,ja,173
量産型フブキ級,吹雪级量产型,zh-CN,ja,105
量産型フルタカ級,古鹰级量产型,zh-CN,ja,113
量産型ミョウコウ級,妙高级量产型,zh-CN,ja,115
量産型ミョウコウ級.verAI,妙高级量产型.verAI,zh-CN,ja,172
量産型ムツキ級,睦月级量产型,zh-CN,ja,109
量産型モガミ級,最上级量产型,zh-CN,ja,117
量産型ユウグモ級,夕云级量产型,zh-CN,ja,108
量産型伊勢級,伊势级量产型,zh-CN,ja,177
量産型夕雲級T2,夕云级量产型T2,zh-CN,ja,286
量産型川内級T2,川内级量产型T2,zh-CN,ja,287
量産型扶桑級,扶桑级量产型,zh-CN,ja,178
量産型扶桑級T2,扶桑级量产型T2,zh-CN,ja,289
量産型最上級T2,最上级量产型T2,zh-CN,ja,288
量産型赤城級T2,赤城级量产型T2,zh-CN,ja,290
金剛,金刚,zh-CN,ja,70
金剛(μ兵装),金刚(μ兵装),zh-CN,ja,228
金剛级量产型,金刚级量产型,zh-CN,ja,309
鈴谷,铃谷,zh-CN,ja,59
長月,长月,zh-CN,ja,160
長波,长波,zh-CN,ja,185
長良,长良,zh-CN,ja,46
長門,长门,zh-CN,ja,74
長門(META),长门·META,zh-CN,ja,230
阿賀野,阿贺野,zh-CN,ja,49
陸奥,陆奥,zh-CN,ja,75
陽炎,阳炎,zh-CN,ja,19
隼鷹,隼鹰,zh-CN,ja,86
隼鷹(META),隼鹰·META,zh-CN,ja,221
雪風,雪风,zh-CN,ja,22
雲仙,云仙,zh-CN,ja,294
雲龍,云龙,zh-CN,ja,209
零戦五二型,零战五二型,zh-CN,ja,10000
電,电,zh-CN,ja,14
霞(META),霞·META,zh-CN,ja,229
霞改,霞.改,zh-CN,ja,219
霧島,雾岛,zh-CN,ja,73
青葉,青叶,zh-CN,ja,55
響,响,zh-CN,ja,12
風雲,风云,zh-CN,ja,203
飛鷹,飞鹰,zh-CN,ja,85
飛鷹(META),飞鹰·META,zh-CN,ja,220
飛龍,飞龙,zh-CN,ja,94
飛龍(META),飞龙·META,zh-CN,ja,191
駿河,骏河,zh-CN,ja,175
鳥海,鸟海,zh-CN,ja,69
鳳翔,凤翔,zh-CN,ja,89
鳳翔(META),凤翔·META,zh-CN,ja,237
黒潮,黑潮,zh-CN,ja,21
龍田,龙田,zh-CN,ja,42
龍驤,龙骧,zh-CN,ja,90
龍鳳,龙凤,zh-CN,ja,179
KD VIa型,海大VI型a型,zh-CN,zh-CN,284
KD型,海大型,zh-CN,zh-CN,281
SIN,IJN,zh-CN,zh-CN,99
ST型,潜特型,zh-CN,zh-CN,308
Type-A Mod.2,巡潜甲型改二型,zh-CN,zh-CN,282
Type-B Mod.2,巡潜乙型改二型,zh-CN,zh-CN,283
Type-B型,巡潜乙型,zh-CN,zh-CN,280
㭴,樫野,zh-CN,zh-CN,188
㮔,冬月,zh-CN,zh-CN,186
㹨,由良,zh-CN,zh-CN,206
䲠,土佐,zh-CN,zh-CN,81
䳆,白凤,zh-CN,zh-CN,302
乌尔里克,乌尔里希,zh-CN,zh-CN,464
乌尔里克·冯·胡贝尔,乌尔里希·冯·胡滕,zh-CN,zh-CN,463
亚勒玛妮亚,德意志,zh-CN,zh-CN,429
亚勒玛妮亚级量产型,德意志级量产型,zh-CN,zh-CN,500
亚勒玛妮亚级量产型·改I,德意志级量产型·改I,zh-CN,zh-CN,505
伊冯娜,约克,zh-CN,zh-CN,457
伊吕波,伊168,zh-CN,zh-CN,256
伊知梦,伊16,zh-CN,zh-CN,251
休贝塔,斯佩,zh-CN,zh-CN,432
休贝塔伯爵,斯佩伯爵海军上将,zh-CN,zh-CN,430
休贝塔伯爵,斯佩伯爵,zh-CN,zh-CN,431
优伊伊丽,U-110,zh-CN,zh-CN,420
优伊妮欧露,U-1206,zh-CN,zh-CN,476
优伊欧伊,U-101,zh-CN,zh-CN,418
优可可妮,U-552,zh-CN,zh-CN,545
优可可妮,U552,zh-CN,zh-CN,548
优可可娜,U-557,zh-CN,zh-CN,415
优可可洛,U-556,zh-CN,zh-CN,416
优可可洛·META,U-556·META,zh-CN,zh-CN,515
优可可洛·META？,U-556.META？,zh-CN,zh-CN,517
优咪伊,U-31,zh-CN,zh-CN,536
优哈依,U-81,zh-CN,zh-CN,414
优娜米,U-73,zh-CN,zh-CN,417
优希娜,U-47,zh-CN,zh-CN,413
优斯伊丽,U-410,zh-CN,zh-CN,475
优柯妮妮,U-522,zh-CN,zh-CN,419
优玖露,U-96,zh-CN,zh-CN,473
优米娜,U-37,zh-CN,zh-CN,474
优米娜,U37,zh-CN,zh-CN,549
伯莎,Z11,zh-CN,zh-CN,496
佩特菈,彼得,zh-CN,zh-CN,471
佩特菈·斯坦贝瑟,彼得·史特拉塞,zh-CN,zh-CN,470
侌,出云,zh-CN,zh-CN,151
保拉,Z5,zh-CN,zh-CN,402
保罗水上侦察机,瑞云,zh-CN,zh-CN,10004
克劳迪亚,科隆,zh-CN,zh-CN,423
克劳迪亚·META,科隆·META,zh-CN,zh-CN,553
六重,伊60,zh-CN,zh-CN,255
冴梦,伊56,zh-CN,zh-CN,254
冴矢,伊58,zh-CN,zh-CN,156
冴诗,伊54,zh-CN,zh-CN,253
凤,凤翔,zh-CN,zh-CN,89
凤·META,凤翔·META,zh-CN,zh-CN,237
凰,赤城,zh-CN,zh-CN,91
凰(μ兵装),赤城(μ兵装),zh-CN,zh-CN,176
凰级量产型T2,赤城级量产型T2,zh-CN,zh-CN,290
十纱,伊13,zh-CN,zh-CN,163
卡洛琳,Z20,zh-CN,zh-CN,406
卡莉,提康,zh-CN,zh-CN,200
卡莉永,提康德罗加,zh-CN,zh-CN,194
双叶梦,伊26,zh-CN,zh-CN,155
双叶檎,伊25,zh-CN,zh-CN,252
吉鲁改鱼雷机,天山改,zh-CN,zh-CN,10007
吉鲁鱼雷机,天山,zh-CN,zh-CN,10001
咪菓,Z35,zh-CN,zh-CN,410
咪露,Z36,zh-CN,zh-CN,411
喷水鱼,射水鱼,zh-CN,zh-CN,196
圣戴安娜,圣地亚哥,zh-CN,zh-CN,524
圣戴安娜.改,圣地亚哥.改,zh-CN,zh-CN,528
埃丝特,Z13,zh-CN,zh-CN,498
埃丽卡,Z12,zh-CN,zh-CN,497
埃尔斯贝特,易北,zh-CN,zh-CN,468
埃尔薇菈,埃尔宾,zh-CN,zh-CN,449
埃格妮丝,埃吉尔,zh-CN,zh-CN,480
埃玛,埃姆登,zh-CN,zh-CN,448
夏璐尔,卡尔斯鲁厄,zh-CN,zh-CN,422
多琳妮娅,杜伊斯堡,zh-CN,zh-CN,541
多萝泰娅,德弗林格尔,zh-CN,zh-CN,489
奥古斯塔,格奈森瑙,zh-CN,zh-CN,434
奥古斯塔·META,格奈森瑙·META,zh-CN,zh-CN,477
奥德莉亚,俾斯麦,zh-CN,zh-CN,435
奥德莉亚Zwei,俾斯麦Zwei,zh-CN,zh-CN,514
奥斯特雷德,奥古斯特,zh-CN,zh-CN,482
奥斯特雷德·冯·帕赫贝尔,奥古斯特·冯·帕塞瓦尔,zh-CN,zh-CN,481
奥莉薇娅,奥托,zh-CN,zh-CN,511
奥莉薇娅·冯·阿诺德,奥托·冯·阿尔文斯莱本,zh-CN,zh-CN,510
妮丝,Z24,zh-CN,zh-CN,443
妮可,Z25,zh-CN,zh-CN,409
妮娅,Z28,zh-CN,zh-CN,445
妮米,Z23,zh-CN,zh-CN,408
妮露,Z26,zh-CN,zh-CN,444
威尔玛,威悉,zh-CN,zh-CN,467
威尔赫米娜,Z21,zh-CN,zh-CN,407
安妮特,Z22,zh-CN,zh-CN,499
宝拉,皮劳,zh-CN,zh-CN,488
小休贝塔,小斯佩,zh-CN,zh-CN,459
小凰,小赤城,zh-CN,zh-CN,170
小圣戴安娜,小圣地亚哥,zh-CN,zh-CN,527
小埃格妮丝,小埃吉尔,zh-CN,zh-CN,544
小海拉,小齐柏林,zh-CN,zh-CN,469
小腓德雷卡,小腓特烈,zh-CN,zh-CN,535
小萨沃伊,小欧根,zh-CN,zh-CN,458
小鲟,小比叡,zh-CN,zh-CN,169
小鳐,小天城,zh-CN,zh-CN,193
小鵗,小信浓,zh-CN,zh-CN,534
小鹩,小大凤,zh-CN,zh-CN,291
峦,伊吹,zh-CN,zh-CN,152
布丽吉特,布吕歇尔,zh-CN,zh-CN,450
希咪,Z43,zh-CN,zh-CN,537
希娜,Z47,zh-CN,zh-CN,494
希尔德加德,兴登堡,zh-CN,zh-CN,521
希方各战斗机,海毒牙,zh-CN,zh-CN,10005
希露,Z46,zh-CN,zh-CN,412
帕赫贝尔,帕塞瓦尔,zh-CN,zh-CN,483
席勒,舍尔海军上将,zh-CN,zh-CN,492
席勒,舍尔,zh-CN,zh-CN,493
弗蕾德贡,Z16,zh-CN,zh-CN,442
弗郎西斯卡,菲利克斯,zh-CN,zh-CN,519
弗郎西斯卡·舒伯特,菲利克斯·舒尔茨,zh-CN,zh-CN,518
战舰·鲟,战舰·比叡,zh-CN,zh-CN,118
战舰·鳗,战舰·雾岛,zh-CN,zh-CN,119
扎达尔,扎拉,zh-CN,zh-CN,526
斯坦贝瑟,史特拉塞,zh-CN,zh-CN,472
朴,浦波,zh-CN,zh-CN,184
杉,白雪,zh-CN,zh-CN,3
杌,水无月,zh-CN,zh-CN,133
杣,山风,zh-CN,zh-CN,207
杨,初雪,zh-CN,zh-CN,4
杪,妙风,zh-CN,zh-CN,307
松,睦月,zh-CN,zh-CN,33
松级量产型,睦月级量产型,zh-CN,zh-CN,109
枟,风云,zh-CN,zh-CN,203
枥,新月,zh-CN,zh-CN,125
枨,长月,zh-CN,zh-CN,160
枫,晓,zh-CN,zh-CN,11
枭,龙骧,zh-CN,zh-CN,90
枳,夕凪,zh-CN,zh-CN,153
柉,矶风,zh-CN,zh-CN,143
柏,电,zh-CN,zh-CN,14
柚,绫波,zh-CN,zh-CN,6
柯妮,Z52,zh-CN,zh-CN,540
柿,敷波,zh-CN,zh-CN,7
栀,响,zh-CN,zh-CN,12
栎,凉月,zh-CN,zh-CN,27
树城,博伊西,zh-CN,zh-CN,197
树城(μ兵装),博伊西(μ兵装),zh-CN,zh-CN,533
树城·META,博伊西·META,zh-CN,zh-CN,551
栘,荒潮,zh-CN,zh-CN,148
栭,谷风,zh-CN,zh-CN,127
栴,时雨,zh-CN,zh-CN,17
格尔林德,沙恩霍斯特,zh-CN,zh-CN,433
格尔林德·META,沙恩霍斯特·META,zh-CN,zh-CN,478
格尔林德级量产型,沙恩霍斯特级量产型,zh-CN,zh-CN,503
格尔林德级量产型·改I,沙恩霍斯特级量产型·改I,zh-CN,zh-CN,508
格尔达,Z2,zh-CN,zh-CN,401
格拉哈姆,英格拉罕,zh-CN,zh-CN,525
桎,朝凪,zh-CN,zh-CN,298
桐,吹雪,zh-CN,zh-CN,2
桐级量产型,吹雪级量产型,zh-CN,zh-CN,105
桑德菈,塞德利茨,zh-CN,zh-CN,460
桸,春月,zh-CN,zh-CN,157
梅,初春,zh-CN,zh-CN,30
梅克琳达,梅克伦堡,zh-CN,zh-CN,550
梓,雷,zh-CN,zh-CN,13
梧,深雪,zh-CN,zh-CN,5
梿,白露,zh-CN,zh-CN,15
梿级量产型,白露级量产型,zh-CN,zh-CN,106
棈,清波,zh-CN,zh-CN,174
棡,松风,zh-CN,zh-CN,134
棪,曙,zh-CN,zh-CN,8
棬,卷波,zh-CN,zh-CN,162
棭,夕暮,zh-CN,zh-CN,32
棹,朝潮,zh-CN,zh-CN,145
椋,凉波,zh-CN,zh-CN,234
椎,追风,zh-CN,zh-CN,192
椛,秋月,zh-CN,zh-CN,26
椿,夕立,zh-CN,zh-CN,16
椿.改,夕立.改,zh-CN,zh-CN,213
椿·META,夕立·META,zh-CN,zh-CN,301
楉,若叶,zh-CN,zh-CN,141
楙,卯月,zh-CN,zh-CN,137
楛,宵月,zh-CN,zh-CN,28
榊,神风,zh-CN,zh-CN,124
榎,有明,zh-CN,zh-CN,31
榵,花月,zh-CN,zh-CN,29
槆,浦风,zh-CN,zh-CN,142
槔,皋月,zh-CN,zh-CN,235
槟,潮,zh-CN,zh-CN,10
槾,满月,zh-CN,zh-CN,187
槿,涟,zh-CN,zh-CN,9
樇,滨风,zh-CN,zh-CN,128
樋,旗风,zh-CN,zh-CN,140
樋·META,旗风·META,zh-CN,zh-CN,522
樟,如月,zh-CN,zh-CN,34
樠,满潮,zh-CN,zh-CN,147
樱,峰风,zh-CN,zh-CN,1
橗,文月,zh-CN,zh-CN,159
橪,春风,zh-CN,zh-CN,139
檚,初月,zh-CN,zh-CN,189
檧,三日月,zh-CN,zh-CN,126
檨,初霜,zh-CN,zh-CN,129
櫂,朝风,zh-CN,zh-CN,138
汉娜,Z18,zh-CN,zh-CN,404
沃尔普加,Z9,zh-CN,zh-CN,495
沃登,奥丁,zh-CN,zh-CN,486
泽克战斗机,零战五二型,zh-CN,zh-CN,10000
泽特,曾克海军上将,zh-CN,zh-CN,546
泽特,曾克,zh-CN,zh-CN,547
海拉,齐柏林,zh-CN,zh-CN,438
海拉伯爵,齐柏林伯爵,zh-CN,zh-CN,437
海拉级量产型,齐柏林级量产型,zh-CN,zh-CN,504
海拉级量产型·改I,齐柏林级量产型·改I,zh-CN,zh-CN,509
淀,大淀,zh-CN,zh-CN,52
滨江,哈尔滨,zh-CN,zh-CN,224
熊,球磨,zh-CN,zh-CN,43
熊级量产型,球磨级量产型,zh-CN,zh-CN,123
特III型枫,特III型晓,zh-CN,zh-CN,168
特II型柚,特II型绫波,zh-CN,zh-CN,166
特I型桐,特I型吹雪,zh-CN,zh-CN,167
特鲁德,图林根,zh-CN,zh-CN,466
犬,爱宕,zh-CN,zh-CN,67
犮,摩耶,zh-CN,zh-CN,68
犰,羽黑,zh-CN,zh-CN,65
犹,青叶,zh-CN,zh-CN,55
犹级量产型,青叶级量产型,zh-CN,zh-CN,114
狌,加古,zh-CN,zh-CN,54
狏,那智,zh-CN,zh-CN,64
狐,夕张,zh-CN,zh-CN,37
狑,绫濑,zh-CN,zh-CN,233
狘,筑摩,zh-CN,zh-CN,62
狳,足柄,zh-CN,zh-CN,144
狸,北上,zh-CN,zh-CN,44
狺,铃谷,zh-CN,zh-CN,59
狻,三隈,zh-CN,zh-CN,58
狼,古鹰,zh-CN,zh-CN,53
狼级量产型,古鹰级量产型,zh-CN,zh-CN,113
猁,熊野,zh-CN,zh-CN,60
猃,云仙,zh-CN,zh-CN,294
猅,衣笠,zh-CN,zh-CN,56
猉,吾妻,zh-CN,zh-CN,165
猋,鸟海,zh-CN,zh-CN,69
猏,浅间,zh-CN,zh-CN,305
猑,利根,zh-CN,zh-CN,61
猤,鬼怒,zh-CN,zh-CN,181
猨,最上,zh-CN,zh-CN,57
猨.改,最上改,zh-CN,zh-CN,212
猨.改,最上.改,zh-CN,zh-CN,214
猨级量产型,最上级量产型,zh-CN,zh-CN,117
猨级量产型T2,最上级量产型T2,zh-CN,zh-CN,288
猽,名取,zh-CN,zh-CN,297
獌,妙高,zh-CN,zh-CN,63
獌级量产型,妙高级量产型,zh-CN,zh-CN,115
獌级量产型.verAI,妙高级量产型.verAI,zh-CN,zh-CN,172
獒,高雄,zh-CN,zh-CN,66
獒级量产型,高雄级量产型,zh-CN,zh-CN,116
獭,渡良濑,zh-CN,zh-CN,231
獾,大井,zh-CN,zh-CN,45
玖,伊9,zh-CN,zh-CN,250
瑞吉娜,雷根斯堡,zh-CN,zh-CN,516
瑞吉娜·META,雷根斯堡·META,zh-CN,zh-CN,552
空母·凰,空母·赤城,zh-CN,zh-CN,120
空母·鸾,空母·加贺,zh-CN,zh-CN,121
简·布罗伊,让·巴尔,zh-CN,zh-CN,523
米兹,美因茨,zh-CN,zh-CN,479
胡贝尔,胡滕,zh-CN,zh-CN,465
腓德雷卡,腓特烈,zh-CN,zh-CN,441
腓德雷卡·卡尔,腓特烈·卡尔,zh-CN,zh-CN,531
腓德雷卡大帝,腓特烈大帝,zh-CN,zh-CN,440
舒伯特,舒尔茨,zh-CN,zh-CN,520
艾伯塔,罗恩,zh-CN,zh-CN,439
艾伯塔(μ兵装),罗恩(μ兵装),zh-CN,zh-CN,452
芒,岛风,zh-CN,zh-CN,18
芙兰希卡,希佩尔海军上将,zh-CN,zh-CN,425
芙兰希卡,希佩尔,zh-CN,zh-CN,426
芙兰希卡(μ兵装),希佩尔海军上将(μ兵装),zh-CN,zh-CN,451
芙兰希卡·META,希佩尔海军上将·META,zh-CN,zh-CN,543
芙兰希卡级量产型,希佩尔海军上将级量产型,zh-CN,zh-CN,502
芙兰希卡级量产型·改I,希佩尔海军上将级量产型·改I,zh-CN,zh-CN,507
花园,新泽西,zh-CN,zh-CN,199
苌,长波,zh-CN,zh-CN,185
苏维埃萨尤斯,苏维埃同盟,zh-CN,zh-CN,529
苓,野分,zh-CN,zh-CN,24
苝,北风,zh-CN,zh-CN,164
若,若月,zh-CN,zh-CN,225
茗,明石,zh-CN,zh-CN,98
茭,夕云,zh-CN,zh-CN,35
茭级量产型,夕云级量产型,zh-CN,zh-CN,108
茭级量产型T2,夕云级量产型T2,zh-CN,zh-CN,286
茳,江风,zh-CN,zh-CN,158
茳·META,江风·META,zh-CN,zh-CN,300
荙,大潮,zh-CN,zh-CN,146
荨,卷云,zh-CN,zh-CN,36
莉普莎,莱比锡,zh-CN,zh-CN,424
莉泽洛特,Z1,zh-CN,zh-CN,400
莨,凉风,zh-CN,zh-CN,149
莲,雪风,zh-CN,zh-CN,22
莵,萩风,zh-CN,zh-CN,131
菙,初风,zh-CN,zh-CN,122
菡,天津风,zh-CN,zh-CN,23
菪,海风,zh-CN,zh-CN,150
菲莉西娅·鲁梅,弗里茨·鲁梅,zh-CN,zh-CN,542
萍,岚,zh-CN,zh-CN,25
萨尤斯,同盟,zh-CN,zh-CN,530
萨沃伊,欧根,zh-CN,zh-CN,428
萨沃伊亲王,欧根亲王,zh-CN,zh-CN,427
萨沃伊亲王(μ兵装),欧根亲王(μ兵装),zh-CN,zh-CN,532
萩,阳炎,zh-CN,zh-CN,19
萩级量产型,阳炎级量产型,zh-CN,zh-CN,107
萩级量产型.verAI,阳炎级量产型.verAI,zh-CN,zh-CN,171
葞,弥生,zh-CN,zh-CN,236
蒠,舞风,zh-CN,zh-CN,130
蒲,不知火,zh-CN,zh-CN,20
蓉,黑潮,zh-CN,zh-CN,21
蕸,霞,zh-CN,zh-CN,180
蕸.改,霞.改,zh-CN,zh-CN,219
蕸·META,霞·META,zh-CN,zh-CN,229
蕾贝卡,鲁普雷希特,zh-CN,zh-CN,485
蕾贝卡亲王,鲁普雷希特亲王,zh-CN,zh-CN,484
藤,藤波,zh-CN,zh-CN,310
藮,亲潮,zh-CN,zh-CN,135
虒,四万十,zh-CN,zh-CN,292
蛟,苍龙,zh-CN,zh-CN,93
蛟·META,苍龙·META,zh-CN,zh-CN,205
螯,日向,zh-CN,zh-CN,77
螯.改,日向.改,zh-CN,zh-CN,218
衣型,伊型,zh-CN,zh-CN,285
衣玖,伊19,zh-CN,zh-CN,154
诗玖玲,伊490,zh-CN,zh-CN,257
诗玲寺,伊404,zh-CN,zh-CN,303
诺菈,纽伦堡,zh-CN,zh-CN,446
豹,龙田,zh-CN,zh-CN,42
豺,天龙,zh-CN,zh-CN,41
豻,那珂,zh-CN,zh-CN,40
豼,阿贺野,zh-CN,zh-CN,49
貀,名寄,zh-CN,zh-CN,311
貁,矢矧,zh-CN,zh-CN,51
貃,阿武隈,zh-CN,zh-CN,47
貄,酒匂,zh-CN,zh-CN,226
貅,能代,zh-CN,zh-CN,50
貅(μ兵装),能代(μ兵装),zh-CN,zh-CN,227
貆,川内,zh-CN,zh-CN,38
貆级量产型,川内级量产型,zh-CN,zh-CN,111
貆级量产型T2,川内级量产型T2,zh-CN,zh-CN,287
貉,五十铃,zh-CN,zh-CN,48
貉量产型,五十铃量产型,zh-CN,zh-CN,112
貊,长良,zh-CN,zh-CN,46
貊级量产型,长良级量产型,zh-CN,zh-CN,110
貎,神通,zh-CN,zh-CN,39
貎·META,神通·META,zh-CN,zh-CN,293
貘,木津,zh-CN,zh-CN,312
贝尔莎,布伦希尔德,zh-CN,zh-CN,462
赛普拉斯,莫里森,zh-CN,zh-CN,198
赫娜洛蕾,赫尔戈兰,zh-CN,zh-CN,490
赫尔代瓦轰炸机,SB2C地狱俯冲者,zh-CN,zh-CN,10003
赫尔卡特战斗机,F6F地狱猫,zh-CN,zh-CN,10002
赫尔卡特战斗机（HVAR搭载型）,F6F地狱猫（HVAR搭载型）,zh-CN,zh-CN,10006
赫尔米娜,Z19,zh-CN,zh-CN,405
赫莉米娜,海因里希,zh-CN,zh-CN,454
赫莉米娜亲王,海因里希亲王,zh-CN,zh-CN,453
迖,大鲸,zh-CN,zh-CN,183
迪特林德,德累斯顿,zh-CN,zh-CN,487
迪特琳德,Z17,zh-CN,zh-CN,403
阿尔伯缇娜,柯尼斯堡,zh-CN,zh-CN,421
阿尔伯缇娜级量产型,柯尼斯堡级量产型,zh-CN,zh-CN,501
阿尔伯缇娜级量产型·改I,柯尼斯堡级量产型·改I,zh-CN,zh-CN,506
阿尔芙莉达,提尔比茨,zh-CN,zh-CN,436
阿德莉娅,阿达尔伯特,zh-CN,zh-CN,456
阿德莉娅亲王,阿达尔伯特亲王,zh-CN,zh-CN,455
阿诺德,阿尔文斯莱本,zh-CN,zh-CN,512
阿诺德,阿尔文斯,zh-CN,zh-CN,513
阿黛尔,亚德,zh-CN,zh-CN,491
雾城,旧金山,zh-CN,zh-CN,195
霍克艾,衣阿华,zh-CN,zh-CN,201
露西,吕佐夫,zh-CN,zh-CN,461
靇,云龙,zh-CN,zh-CN,209
马格达莱娜,马格德堡,zh-CN,zh-CN,447
魟,扶桑,zh-CN,zh-CN,78
魟.改,扶桑改,zh-CN,zh-CN,211
魟.改,扶桑.改,zh-CN,zh-CN,215
魟·META,扶桑·META,zh-CN,zh-CN,210
魟级量产型,扶桑级量产型,zh-CN,zh-CN,178
魟级量产型T2,扶桑级量产型T2,zh-CN,zh-CN,289
魟量产型.verAI,扶桑级量产型.verAI,zh-CN,zh-CN,173
鱵,巴劳鱵,zh-CN,zh-CN,202
鲐,三笠,zh-CN,zh-CN,82
鲑,榛名,zh-CN,zh-CN,72
鲙,敷岛,zh-CN,zh-CN,136
鲛,陆奥,zh-CN,zh-CN,75
鲟,比叡,zh-CN,zh-CN,71
鲟·META,比叡·META,zh-CN,zh-CN,232
鲣,纪伊,zh-CN,zh-CN,80
鲤,金刚,zh-CN,zh-CN,70
鲤(μ兵装),金刚(μ兵装),zh-CN,zh-CN,228
鲤级量产型,金刚级量产型,zh-CN,zh-CN,309
鲨,长门,zh-CN,zh-CN,74
鲨·META,长门·META,zh-CN,zh-CN,230
鲪,骏河,zh-CN,zh-CN,175
鲸,大和,zh-CN,zh-CN,83
鲼,山城,zh-CN,zh-CN,79
鲼.改,山城改,zh-CN,zh-CN,132
鲼.改,山城.改,zh-CN,zh-CN,216
鲼·META,山城·META,zh-CN,zh-CN,223
鳂,尾张,zh-CN,zh-CN,295
鳄,武藏,zh-CN,zh-CN,84
鳉,近江,zh-CN,zh-CN,304
鳌,伊势,zh-CN,zh-CN,76
鳌.改,伊势.改,zh-CN,zh-CN,217
鳌级量产型,伊势级量产型,zh-CN,zh-CN,177
鳐,天城,zh-CN,zh-CN,161
鳗,雾岛,zh-CN,zh-CN,73
鳝,大山,zh-CN,zh-CN,299
鵗,信浓,zh-CN,zh-CN,182
鸗,龙凤,zh-CN,zh-CN,179
鸢,隼鹰,zh-CN,zh-CN,86
鸢·META,隼鹰·META,zh-CN,zh-CN,221
鸱,飞鹰,zh-CN,zh-CN,85
鸱·META,飞鹰·META,zh-CN,zh-CN,220
鸾,加贺,zh-CN,zh-CN,92
鹂,千岁,zh-CN,zh-CN,103
鹃,千代田,zh-CN,zh-CN,104
鹖,葛城,zh-CN,zh-CN,208
鹞,祥凤,zh-CN,zh-CN,87
鹤,瑞鹤,zh-CN,zh-CN,96
鹩,大凤,zh-CN,zh-CN,97
鹩(μ兵装),大凤(μ兵装),zh-CN,zh-CN,190
鹩·META,大凤·META,zh-CN,zh-CN,238
鹫,白龙,zh-CN,zh-CN,204
鹬,翔鹤,zh-CN,zh-CN,95
鹳,瑞凤,zh-CN,zh-CN,88
鼯,水无濑,zh-CN,zh-CN,306
龙,飞龙,zh-CN,zh-CN,94
龙·META,飞龙·META,zh-CN,zh-CN,191
