source,target,tgt_lng,src_lng,ship_id,ship_type_zh,ship_type_en,nation_zh,nation_en,variant,zh_CN_form,zh_CN_standard,zh_CN_harmonised,same_source_alternatives
ルピニャート,L'Opiniâtre,en-US,ja-JP,801041,驱逐,Destroyer,自由鸢尾,Iris Libre,,,倔强,,
ル・アルディ,Le Hardi,en-US,ja-JP,801051,驱逐,Destroyer,自由鸢尾,Iris Libre,,,大胆,,
ル・テメレール,Le Téméraire,en-US,ja-JP,801031,驱逐,Destroyer,自由鸢尾,Iris Libre,,,鲁莽,,
ル・テメレール(μ兵装),Le Téméraire μ,en-US,ja-JP,801091,驱逐,Destroyer,自由鸢尾,Iris Libre,μ兵装,,鲁莽(μ兵装),,
ル・テリブル,Le Terrible,en-US,ja-JP,801071,驱逐,Destroyer,自由鸢尾,Iris Libre,,,可怖,,
ル・トリオンファン,Le Triomphant,en-US,ja-JP,801011,驱逐,Destroyer,自由鸢尾,Iris Libre,,,凯旋,,
ル・マラン,Le Malin,en-US,ja-JP,901111,驱逐,Destroyer,维希教廷,Vichya Dominion,,,恶毒,,
ル・マラン(μ兵装),Le Malin μ,en-US,ja-JP,901121,驱逐,Destroyer,维希教廷,Vichya Dominion,μ兵装,,恶毒(μ兵装),,
ル・マルス,Le Mars,en-US,ja-JP,901011,驱逐,Destroyer,维希教廷,Vichya Dominion,,,勒马尔,,
レオナルド・ダ・ヴィンチ,Leonardo da Vinci,en-US,ja-JP,608021,潜艇,Submarine,撒丁帝国,Sardegna Empire,,,莱昂纳多·达·芬奇,,
レキシントン,Lexington,en-US,ja-JP,107021,正航,Aircraft Carrier,白鹰,Eagle Union,,,列克星敦,,
レキシントンⅡ,Lexington II,en-US,ja-JP,107161,正航,Aircraft Carrier,白鹰,Eagle Union,II型,,列克星敦II,,
レナウン,Renown,en-US,ja-JP,204011,战巡,Battlecruiser,皇家,Royal Navy,,,声望,,
レパルス,Repulse,en-US,ja-JP,204021,战巡,Battlecruiser,皇家,Royal Navy,,,反击,,
レンジャー,Ranger,en-US,ja-JP,107041,轻航,Light Carrier,白鹰,Eagle Union,,,突击者,,
レーゲンスブルク,Regensburg,en-US,ja-JP,402101,轻巡,Light Cruiser,铁血,Iron Blood,,,雷根斯堡,瑞吉娜,
レーゲンスブルク(META),Regensburg META,en-US,ja-JP,9702111,轻巡,Light Cruiser,META,META,META,,雷根斯堡·META,瑞吉娜·META,
ロイヤル・オーク,Royal Oak,en-US,ja-JP,205141,战列,Battleship,皇家,Royal Navy,,,皇家橡树,,
ロイヤル・ジェームズ,Royal James,en-US,ja-JP,9600151,风帆,Sailing Frigate,飓风船团,Tempesta,,,皇家詹姆斯号,,
ロイヤル・フォーチュン,Royal Fortune,en-US,ja-JP,900405,风帆,Sailing Frigate,飓风船团,Tempesta,,,皇家财富号,,
ロドニー,Rodney,en-US,ja-JP,205041,战列,Battleship,皇家,Royal Navy,,,罗德尼,,
ロドニー(META),Rodney META,en-US,ja-JP,9705051,战列,Battleship,META,META,META,,罗德尼·META,,
ロング・アイランド,Long Island,en-US,ja-JP,106011,轻航,Light Carrier,白鹰,Eagle Union,,,长岛,,
ロンドン,London,en-US,ja-JP,203011,重巡,Heavy Cruiser,皇家,Royal Navy,,,伦敦,,
ローグカイゼルグリッドマン,Rogue Kaiser Gridman,en-US,ja-JP,900808,轻巡,Light Cruiser,联动阵营,Collab,,,狂战帝王古立特,,
ローダシュー,L'Audacieux,en-US,ja-JP,900444,驱逐,Destroyer,维希教廷,Vichya Dominion,,,果敢,,
ローマ,Roma,en-US,ja-JP,605031,战列,Battleship,撒丁帝国,Sardegna Empire,,,罗马,,
ローリー,Raleigh,en-US,ja-JP,102021,轻巡,Light Cruiser,白鹰,Eagle Union,,,罗利,,
ローン,Roon,en-US,ja-JP,499011,重巡,Heavy Cruiser,铁血,Iron Blood,,,罗恩,艾伯塔,
ローン(μ兵装),Roon μ,en-US,ja-JP,403081,重巡,Heavy Cruiser,铁血,Iron Blood,μ兵装,,罗恩(μ兵装),艾伯塔(μ兵装),
ワシントン,Washington,en-US,ja-JP,105131,战列,Battleship,白鹰,Eagle Union,,,华盛顿,,
ワスプ,Wasp,en-US,ja-JP,107081,正航,Aircraft Carrier,白鹰,Eagle Union,,,胡蜂,,
ヴァリアント,Valiant,en-US,ja-JP,205101,战列,Battleship,皇家,Royal Navy,,,英勇,,
ヴァンガード,Vanguard,en-US,ja-JP,205131,战列,Battleship,皇家,Royal Navy,,,前卫,,
ヴァンパイア,Vampire,en-US,ja-JP,201231,驱逐,Destroyer,皇家,Royal Navy,,,吸血鬼,,
ヴァンパイア(META),Vampire META,en-US,ja-JP,9701051,驱逐,Destroyer,META,META,META,,吸血鬼·META,,
ヴィクトリアス,Victorious,en-US,ja-JP,207041,正航,Aircraft Carrier,皇家,Royal Navy,,,胜利,,
ヴィットリオ・クニベルティ,Vittorio Cuniberti,en-US,ja-JP,699031,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,维托里奥·库尼贝尔蒂,,
ヴィットリオ・ヴェネト,Vittorio Veneto,en-US,ja-JP,605011,战列,Battleship,撒丁帝国,Sardegna Empire,,,维托里奥·维内托,,
ヴィンセンス,Vincennes,en-US,ja-JP,103101,重巡,Heavy Cruiser,白鹰,Eagle Union,,,文森斯,,
ヴィンチェンツォ・ジョベルティ,Vincenzo Gioberti,en-US,ja-JP,601031,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,文琴佐·焦贝蒂,,
ヴェスタル,Vestal,en-US,ja-JP,112011,维修,Repair,白鹰,Eagle Union,,,女灶神,,
ヴェスタル(META),Vestal META,en-US,ja-JP,9712011,维修,Repair,META,META,META,,女灶神·META,,
ヴェーザー,Weser,en-US,ja-JP,406011,轻航,Light Carrier,铁血,Iron Blood,,,威悉,威尔玛,
ヴォルガ,Volga,en-US,ja-JP,707011,正航,Aircraft Carrier,北方联合,Northern Parliament,,,伏尔加,,
ヴォロシーロフ,Voroshilov,en-US,ja-JP,702071,轻巡,Light Cruiser,北方联合,Northern Parliament,,,伏罗希洛夫,,
ヴォークラン,Vauquelin,en-US,ja-JP,901031,驱逐,Destroyer,维希教廷,Vichya Dominion,,,沃克兰,,
七省,De Zeven Provinciën,en-US,ja-JP,900496,轻巡,Light Cruiser,郁金王国,Kingdom of Tulipa,,,七省,,
三日月,Mikazuki,en-US,ja-JP,301411,驱逐,Destroyer,重樱,Sakura Empire,,,三日月,檧,
三浦あずさ,Azusa Miura,en-US,ja-JP,10700041,重巡,Heavy Cruiser,联动阵营,Collab,,,三浦 梓,,
三笠,Mikasa,en-US,ja-JP,305111,战列,Battleship,重樱,Sakura Empire,,,三笠,鲐,
三隈,Mikuma,en-US,ja-JP,302111,轻巡,Light Cruiser,重樱,Sakura Empire,,,三隈,狻,
不屈-王国军守护骑士,L'Indomptable,en-US,ja-JP,900420,驱逐,Destroyer,通用,Universal,,,不屈-王国军守护骑士,,
不知火,Shiranui,en-US,ja-JP,301181,驱逐,Destroyer,重樱,Sakura Empire,,,不知火,蒲,
五十鈴,Isuzu,en-US,ja-JP,302051,轻巡,Light Cruiser,重樱,Sakura Empire,,,五十铃,貉,
五河琴里,Kotori Itsuka,en-US,ja-JP,11500031,战列,Battleship,联动阵营,Collab,,,五河琴里,,
仲裁者·提尔瑞特·VII,Chariot.VII,en-US,ja-JP,900538,战列,Battleship,塞壬,Siren,,,仲裁者·提尔瑞特·VII,,
企业·META,Enterprise META,en-US,ja-JP,900524,正航,Aircraft Carrier,META,META,META,,企业·META,,
伊13,I-13,en-US,ja-JP,317011,潜母,Aviation Submarine,重樱,Sakura Empire,,,伊13,十纱,
伊168,I-168,en-US,ja-JP,308061,潜艇,Submarine,重樱,Sakura Empire,,,伊168,伊吕波,
伊19,I-19,en-US,ja-JP,308011,潜艇,Submarine,重樱,Sakura Empire,,,伊19,衣玖,
伊25,I-25,en-US,ja-JP,308041,潜艇,Submarine,重樱,Sakura Empire,,,伊25,双叶檎,
伊26,I-26,en-US,ja-JP,308021,潜艇,Submarine,重樱,Sakura Empire,,,伊26,双叶梦,
伊404,I-404,en-US,ja-JP,317021,潜母,Aviation Submarine,重樱,Sakura Empire,,,伊404,诗玲寺,
伊56,I-56,en-US,ja-JP,308051,潜艇,Submarine,重樱,Sakura Empire,,,伊56,冴梦,
伊58,I-58,en-US,ja-JP,308031,潜艇,Submarine,重樱,Sakura Empire,,,伊58,冴矢,
伊勢,Ise,en-US,ja-JP,305031,战列,Battleship,重樱,Sakura Empire,,,伊势,鳌,
伊吹,Ibuki,en-US,ja-JP,399011,重巡,Heavy Cruiser,重樱,Sakura Empire,,,伊吹,峦,
伏波,Fu Po,en-US,ja-JP,501091,驱逐,Destroyer,东煌,Dragon Empery,,,伏波,,
优米雅·利斯菲尔德,Yumia Liessfeldt,en-US,ja-JP,900517,轻航,Light Carrier,联动阵营,Collab,,,优米雅·利斯菲尔德,,
信濃,Shinano,en-US,ja-JP,307081,正航,Aircraft Carrier,重樱,Sakura Empire,,,信浓,鵗,
信濃ちゃん,Shinano-chan,en-US,ja-JP,307141,正航,Aircraft Carrier,重樱,Sakura Empire,,,小信浓,小鵗,
倔强-王国军二级魔法师,L'Opiniâtre,en-US,ja-JP,900418,驱逐,Destroyer,通用,Universal,,,倔强-王国军二级魔法师,,
八舞耶倶矢・八舞夕弦,Kaguya Yamai・Yuzuru Yamai,en-US,ja-JP,11500061,轻巡,Light Cruiser,联动阵营,Collab,,,八舞耶俱矢·八舞夕弦,,
出雲,Izumo,en-US,ja-JP,399021,战列,Battleship,重樱,Sakura Empire,,,出云,侌,
初春,Hatsuharu,en-US,ja-JP,301211,驱逐,Destroyer,重樱,Sakura Empire,,,初春,梅,
初月,Hatsuzuki,en-US,ja-JP,301891,驱逐,Destroyer,重樱,Sakura Empire,,,初月,檚,
初霜,Hatsushimo,en-US,ja-JP,301241,驱逐,Destroyer,重樱,Sakura Empire,,,初霜,檨,
利根,Tone,en-US,ja-JP,900013,战列,Battleship,铁血,Iron Blood,,,利根,猑,
利物浦-神官,Liverpool,en-US,ja-JP,900414,正航,Aircraft Carrier,通用,Universal,,,利物浦-神官,,
前卫-王国军方旗骑士,Vanguard,en-US,ja-JP,900422,战列,Battleship,通用,Universal,,,前卫-王国军方旗骑士,,
加古,Kako,en-US,ja-JP,303021,重巡,Heavy Cruiser,重樱,Sakura Empire,,,加古,狌,
加賀,Kaga(BB),en-US,ja-JP,305071,战列,Battleship,重樱,Sakura Empire,,,加贺,鸾,Kaga(BB) [重樱 战列] | Kaga [重樱 正航]
加賀,Kaga,en-US,ja-JP,307021,正航,Aircraft Carrier,重樱,Sakura Empire,,,加贺,鸾,Kaga(BB) [重樱 战列] | Kaga [重樱 正航]
努比亚人-药剂师,Nubian,en-US,ja-JP,900416,战巡,Battlecruiser,通用,Universal,,,努比亚人-药剂师,,
北風,Kitakaze,en-US,ja-JP,399031,驱逐,Destroyer,重樱,Sakura Empire,,,北风,苝,
千代田,Chiyoda,en-US,ja-JP,306091,轻航,Light Carrier,重樱,Sakura Empire,,,千代田,鹃,
千歳,Chitose,en-US,ja-JP,306081,轻航,Light Carrier,重樱,Sakura Empire,,,千岁,鹂,
南夢芽,Yume Minami,en-US,ja-JP,10800051,重巡,Heavy Cruiser,联动阵营,Collab,,,南梦芽,,
博尔扎诺·META,Bolzano META,en-US,ja-JP,900489,重巡,Heavy Cruiser,META,META,META,,博尔扎诺·META,,
卯月,Uzuki,en-US,ja-JP,301351,驱逐,Destroyer,重樱,Sakura Empire,,,卯月,楙,
双海亜美,Ami Futami,en-US,ja-JP,10700061,潜艇,Submarine,联动阵营,Collab,,,双海亚美,,
双海真美,Mami Futami,en-US,ja-JP,10700071,潜艇,Submarine,联动阵营,Collab,,,双海真美,,
反击·META,Repulse META,en-US,ja-JP,900505,战巡,Battlecruiser,META,META,META,,反击·META,,
古手川唯,Yui Kotegawa,en-US,ja-JP,900478,正航,Aircraft Carrier,联动阵营,Collab,,,古手川唯,,
古鷹,Furutaka,en-US,ja-JP,303011,重巡,Heavy Cruiser,重樱,Sakura Empire,,,古鹰,狼,
名取,Natori,en-US,ja-JP,302061,轻巡,Light Cruiser,重樱,Sakura Empire,,,名取,猽,
名寄,Nayoro,en-US,ja-JP,302291,轻巡,Light Cruiser,重樱,Sakura Empire,,,名寄,貀,
吹雪,Fubuki,en-US,ja-JP,301011,驱逐,Destroyer,重樱,Sakura Empire,,,吹雪,桐,
吾妻,Azuma,en-US,ja-JP,399041,超巡,Large Cruiser,重樱,Sakura Empire,,,吾妻,猉,
和睦号,Amity,en-US,ja-JP,900523,风帆,Sailing Frigate,飓风船团,Tempesta,,,和睦号,,
四万十,Shimanto,en-US,ja-JP,399061,轻巡,Light Cruiser,重樱,Sakura Empire,,,四万十,虒,
四糸乃,Yoshino,en-US,ja-JP,11500041,轻航,Light Carrier,联动阵营,Collab,,,四糸乃,,
土佐,Tosa,en-US,ja-JP,305081,战列,Battleship,重樱,Sakura Empire,,,土佐,䲠,
圣女贞德-王国军圣女,Jeanne d'Arc,en-US,ja-JP,900421,轻巡,Light Cruiser,通用,Universal,,,圣女贞德-王国军圣女,,
埃佛森,Evertsen,en-US,ja-JP,900497,驱逐,Destroyer,郁金王国,Kingdom of Tulipa,,,埃佛森,,
基洛夫·META（后排）,Kirov META,en-US,ja-JP,900537,导驱,DDG,META,META,META,,基洛夫·META（后排）,,
声望·META,Renown META,en-US,ja-JP,900504,战巡,Battlecruiser,META,META,META,,声望·META,,
夏色まつり,Natsuiro Matsuri,en-US,ja-JP,900802,驱逐,Destroyer,联动阵营,Collab,,,夏色祭,,
夕張,Yuubari,en-US,ja-JP,302011,轻巡,Light Cruiser,重樱,Sakura Empire,,,夕张,狐,
夕暮,Yuugure,en-US,ja-JP,301261,驱逐,Destroyer,重樱,Sakura Empire,,,夕暮,棭,
夕焼,Yūyaki,en-US,ja-JP,11000071,重巡,Heavy Cruiser,联动阵营,Collab,,,夕烧,,
夕立,Yuudachi,en-US,ja-JP,301141,驱逐,Destroyer,重樱,Sakura Empire,,,夕立,椿,
夕立(META),Yuudachi META,en-US,ja-JP,9701091,驱逐,Destroyer,META,META,META,,夕立·META,椿·META,
夜刀神十香,Tohka Yatogami,en-US,ja-JP,11500011,重巡,Heavy Cruiser,联动阵营,Collab,,,夜刀神十香,,
大山,Daisen,en-US,ja-JP,399071,战列,Battleship,重樱,Sakura Empire,,,大山,鳝,
大潮,Ooshio,en-US,ja-JP,301641,驱逐,Destroyer,重樱,Sakura Empire,,,大潮,荙,
大神ミオ,Ōkami Mio,en-US,ja-JP,900806,正航,Aircraft Carrier,联动阵营,Collab,,,大神澪,,
大鳳,Taihou,en-US,ja-JP,307071,正航,Aircraft Carrier,重樱,Sakura Empire,,,大凤,鹩,
大鳳(META),Taihou META,en-US,ja-JP,9707051,正航,Aircraft Carrier,META,META,META,,大凤·META,鹩·META,
大鳳(μ兵装),Taihou μ,en-US,ja-JP,307111,正航,Aircraft Carrier,重樱,Sakura Empire,μ兵装,,大凤(μ兵装),鹩(μ兵装),
大鳳ちゃん,Taihou-chan,en-US,ja-JP,307131,正航,Aircraft Carrier,重樱,Sakura Empire,,,小大凤,小鹩,
天城,Amagi,en-US,ja-JP,304051,战巡,Battlecruiser,重樱,Sakura Empire,,,天城,鳐,Amagi [重樱 战巡] | Amagi(CV) [重樱 正航]
天城(空母),Amagi(CV),en-US,ja-JP,307151,正航,Aircraft Carrier,重樱,Sakura Empire,,,天城,鳐,
天城ちゃん,Amagi-chan,en-US,ja-JP,304071,战巡,Battlecruiser,重樱,Sakura Empire,,,小天城,小鳐,
天海春香,Haruka Amami,en-US,ja-JP,10700011,轻巡,Light Cruiser,联动阵营,Collab,,,天海春香,,
太原,Tai Yuan,en-US,ja-JP,501041,驱逐,Destroyer,东煌,Dragon Empery,,,太原,,
女天狗,Nyotengu,en-US,ja-JP,10600061,正航,Aircraft Carrier,联动阵营,Collab,,,女天狗,,
如月,Kisaragi,en-US,ja-JP,301331,驱逐,Destroyer,重樱,Sakura Empire,,,如月,樟,
如月千早,Chihaya Kisaragi,en-US,ja-JP,10700021,正航,Aircraft Carrier,联动阵营,Collab,,,如月千早,,
妙風,Taekaze,en-US,ja-JP,301921,驱逐,Destroyer,重樱,Sakura Empire,,,妙风,杪,
妙高,Myoukou,en-US,ja-JP,303071,重巡,Heavy Cruiser,重樱,Sakura Empire,,,妙高,獌,
妮娜·弗里德,Nina Friede,en-US,ja-JP,900518,战列,Battleship,联动阵营,Collab,,,妮娜·弗里德,,
安德烈亚·多利亚·META,Andrea Doria META,en-US,ja-JP,900492,战列,Battleship,META,META,META,,安德烈亚·多利亚·META,,
定安,Ting An,en-US,ja-JP,519011,运输,Munition Ship,东煌,Dragon Empery,,,定安,,
宝多六花,Rikka Takarada,en-US,ja-JP,10800011,轻巡,Light Cruiser,联动阵营,Collab,,,宝多六花,,
宵月,Yoizuki,en-US,ja-JP,301581,驱逐,Destroyer,重樱,Sakura Empire,,,宵月,楛,
寧海,Ning Hai,en-US,ja-JP,502021,轻巡,Light Cruiser,东煌,Dragon Empery,,,宁海,,
寰昌,Huan Ch'ang,en-US,ja-JP,504011,战巡,Battlecruiser,东煌,Dragon Empery,,,寰昌,,
尾張,Owari,en-US,ja-JP,305131,战列,Battleship,重樱,Sakura Empire,,,尾张,鳂,
山城,Yamashiro,en-US,ja-JP,305021,战列,Battleship,重樱,Sakura Empire,,,山城,鲼,
山城(META),Yamashiro META,en-US,ja-JP,9705021,战列,Battleship,META,META,META,,山城·META,鲼·META,
山風,Yamakaze,en-US,ja-JP,301481,驱逐,Destroyer,重樱,Sakura Empire,,,山风,杣,
島風,Shimakaze,en-US,ja-JP,301291,驱逐,Destroyer,重樱,Sakura Empire,,,岛风,芒,
川内,Sendai,en-US,ja-JP,302121,轻巡,Light Cruiser,重樱,Sakura Empire,,,川内,貆,
巻波,Makinami,en-US,ja-JP,301801,驱逐,Destroyer,重樱,Sakura Empire,,,卷波,棬,
平海,Ping Hai,en-US,ja-JP,502031,轻巡,Light Cruiser,东煌,Dragon Empery,,,平海,,
建武,Chien Wu,en-US,ja-JP,503011,重巡,Heavy Cruiser,东煌,Dragon Empery,,,建武,,
彰武,Chang Wu,en-US,ja-JP,503021,重巡,Heavy Cruiser,东煌,Dragon Empery,,,彰武,,
応瑞,Ying Swei,en-US,ja-JP,502041,轻巡,Light Cruiser,东煌,Dragon Empery,,,应瑞,,
愛宕,Atago,en-US,ja-JP,303121,重巡,Heavy Cruiser,重樱,Sakura Empire,,,爱宕,犬,
扶桑,Fusou,en-US,ja-JP,305011,战列,Battleship,重樱,Sakura Empire,,,扶桑,魟,
扶桑(META),Fusou META,en-US,ja-JP,9705011,战列,Battleship,META,META,META,,扶桑·META,魟·META,
抚顺-勇者,Fu Shun - Hero,en-US,ja-JP,900413,轻巡,Light Cruiser,通用,Universal,,,抚顺-勇者,,
拉菲-传说级魔法师,Laffey,en-US,ja-JP,900409,战列,Battleship,通用,Universal,,,拉菲-传说级魔法师,,
摩耶,Maya,en-US,ja-JP,303131,重巡,Heavy Cruiser,重樱,Sakura Empire,,,摩耶,犮,
撫順,Fu Shun,en-US,ja-JP,501021,驱逐,Destroyer,东煌,Dragon Empery,,,抚顺,,
文月,Fumizuki,en-US,ja-JP,301381,驱逐,Destroyer,重樱,Sakura Empire,,,文月,橗,
斑鳩,Ikaruga,en-US,ja-JP,11000021,重巡,Heavy Cruiser,联动阵营,Collab,,,斑鸠,,
新月,Niizuki,en-US,ja-JP,301561,驱逐,Destroyer,重樱,Sakura Empire,,,新月,枥,Crescent [皇家 驱逐] | Niizuki [重樱 驱逐]
新条アカネ,Akane Shinjo,en-US,ja-JP,10800021,战列,Battleship,联动阵营,Collab,,,新条茜,,
旗風,Hatakaze,en-US,ja-JP,301791,驱逐,Destroyer,重樱,Sakura Empire,,,旗风,樋,
旗風(META),Hatakaze META,en-US,ja-JP,9701031,驱逐,Destroyer,META,META,META,,旗风·META,樋·META,
日向,Hyuuga,en-US,ja-JP,305041,战列,Battleship,重樱,Sakura Empire,,,日向,螯,
明石,Akashi,en-US,ja-JP,312011,维修,Repair,重樱,Sakura Empire,,,明石,茗,
春月,Harutsuki,en-US,ja-JP,301571,驱逐,Destroyer,重樱,Sakura Empire,,,春月,桸,
時崎狂三,Kurumi Tokisaki,en-US,ja-JP,11500051,轻巡,Light Cruiser,联动阵营,Collab,,,时崎狂三,,
時雨,Shigure,en-US,ja-JP,301151,驱逐,Destroyer,重樱,Sakura Empire,,,时雨,栴,
暁,Akatsuki,en-US,ja-JP,301091,驱逐,Destroyer,重樱,Sakura Empire,,,晓,枫,
最上,Mogami,en-US,ja-JP,302101,轻巡,Light Cruiser,重樱,Sakura Empire,,,最上,猨,
有明,Ariake,en-US,ja-JP,301251,驱逐,Destroyer,重樱,Sakura Empire,,,有明,榎,
朝凪,Asanagi,en-US,ja-JP,301901,驱逐,Destroyer,重樱,Sakura Empire,,,朝凪,桎,
朝潮,Asashio,en-US,ja-JP,301631,驱逐,Destroyer,重樱,Sakura Empire,,,朝潮,棹,
木津,Kizu,en-US,ja-JP,302281,轻巡,Light Cruiser,重樱,Sakura Empire,,,木津,貘,
朱利奥·凯撒·META,Giulio Cesare META,en-US,ja-JP,900491,战列,Battleship,META,META,META,,朱利奥·凯撒·META,,
松風,Matsukaze,en-US,ja-JP,301311,驱逐,Destroyer,重樱,Sakura Empire,,,松风,棡,
构建者,Compiler,en-US,ja-JP,900506,正航,Aircraft Carrier,塞壬,Siren,,,构建者,,
标枪-传说级勇者,Javelin,en-US,ja-JP,900410,驱逐,Destroyer,通用,Universal,,,标枪-传说级勇者,,
榛名,Haruna,en-US,ja-JP,304031,战巡,Battlecruiser,重樱,Sakura Empire,,,榛名,鲑,
樫野,Kashino,en-US,ja-JP,319011,运输,Munition Ship,重樱,Sakura Empire,,,樫野,㭴,
武蔵,Musashi,en-US,ja-JP,305101,战列,Battleship,重樱,Sakura Empire,,,武藏,鳄,
死亡主宰,DEAD MASTER,en-US,ja-JP,900511,正航,Aircraft Carrier,联动阵营,Collab,,,死亡主宰,,
比叡,Hiei,en-US,ja-JP,304021,战巡,Battlecruiser,重樱,Sakura Empire,,,比叡,鲟,
比叡·META（前排）,Hiei META,en-US,ja-JP,900450,超巡,Large Cruiser,META,META,META,,比叡·META（前排）,鲟·META（前排）,
比叡ちゃん,Hiei-chan,en-US,ja-JP,304061,战巡,Battlecruiser,重樱,Sakura Empire,,,小比叡,小鲟,
水瀬伊織,Iori Minase,en-US,ja-JP,10700031,战列,Battleship,联动阵营,Collab,,,水濑伊织,,
水無月,Minazuki,en-US,ja-JP,301371,驱逐,Destroyer,重樱,Sakura Empire,,,水无月,杌,
水無瀬,Minase,en-US,ja-JP,302271,轻巡,Light Cruiser,重樱,Sakura Empire,,,水无濑,鼯,
汎用型ブリ,Universal Bulin,en-US,ja-JP,100001,驱逐,Destroyer,通用,Universal,,,泛用型布里,,
江風,Kawakaze,en-US,ja-JP,301491,驱逐,Destroyer,重樱,Sakura Empire,,,江风,茳,
江風(META),Kawakaze META,en-US,ja-JP,9701081,驱逐,Destroyer,META,META,META,,江风·META,茳·META,
浅間,Asama,en-US,ja-JP,303201,重巡,Heavy Cruiser,重樱,Sakura Empire,,,浅间,猏,
浜風,Hamakaze,en-US,ja-JP,301611,驱逐,Destroyer,重樱,Sakura Empire,,,滨风,樇,
浦波,Uranami,en-US,ja-JP,301721,驱逐,Destroyer,重樱,Sakura Empire,,,浦波,朴,
浦風,Urakaze,en-US,ja-JP,301591,驱逐,Destroyer,重樱,Sakura Empire,,,浦风,槆,
海圻,Hai Chi,en-US,ja-JP,502081,轻巡,Light Cruiser,东煌,Dragon Empery,,,海圻,,
海天,Hai Tien,en-US,ja-JP,502071,轻巡,Light Cruiser,东煌,Dragon Empery,,,海天,,
海容,Hai Yung,en-US,ja-JP,502101,轻巡,Light Cruiser,东煌,Dragon Empery,,,海容,,
海籌,Hai Chou,en-US,ja-JP,502121,轻巡,Light Cruiser,东煌,Dragon Empery,,,海筹,,
海風,Umikaze,en-US,ja-JP,301471,驱逐,Destroyer,重樱,Sakura Empire,,,海风,菪,
涼月,Suzutsuki,en-US,ja-JP,301841,驱逐,Destroyer,重樱,Sakura Empire,,,凉月,栎,
涼波,Suzunami,en-US,ja-JP,301911,驱逐,Destroyer,重樱,Sakura Empire,,,凉波,椋,
深雪,Miyuki,en-US,ja-JP,301041,驱逐,Destroyer,重樱,Sakura Empire,,,深雪,梧,
清波,Kiyonami,en-US,ja-JP,301541,驱逐,Destroyer,重樱,Sakura Empire,,,清波,棈,
済安,Chi An,en-US,ja-JP,502091,轻巡,Light Cruiser,东煌,Dragon Empery,,,济安,,
渡良瀬,Watarase,en-US,ja-JP,302251,轻巡,Light Cruiser,重樱,Sakura Empire,,,渡良濑,獭,
湊あくあ,Minato Aqua,en-US,ja-JP,900807,潜艇,Submarine,联动阵营,Collab,,,湊阿库娅,,
満潮,Michishio,en-US,ja-JP,301651,驱逐,Destroyer,重樱,Sakura Empire,,,满潮,樠,
焔,Homura,en-US,ja-JP,11000031,潜艇,Submarine,联动阵营,Collab,,,焰,,
熊野,Kumano,en-US,ja-JP,303181,重巡,Heavy Cruiser,重樱,Sakura Empire,,,熊野,猁,
特伦托·META,Trento META,en-US,ja-JP,900490,重巡,Heavy Cruiser,META,META,META,,特伦托·META,,
特装型ブリMKⅢ,Specialized Bulin Custom MKIII,en-US,ja-JP,100021,驱逐,Destroyer,通用,Universal,,,特装型布里MKIII,,
独角兽-见习神官,Unicorn,en-US,ja-JP,900415,轻航,Light Carrier,通用,Universal,,,独角兽-见习神官,,
瑞鳳,Zuihou,en-US,ja-JP,306041,轻航,Light Carrier,重樱,Sakura Empire,,,瑞凤,鹳,
瑞鶴,Zuikaku,en-US,ja-JP,307061,正航,Aircraft Carrier,重樱,Sakura Empire,,,瑞鹤,鹤,
由良,Yura,en-US,ja-JP,302071,轻巡,Light Cruiser,重樱,Sakura Empire,,,由良,㹨,
白上フブキ,Shirakami Fubuki,en-US,ja-JP,900801,驱逐,Destroyer,联动阵营,Collab,,,白上吹雪,,
白雪,Shirayuki,en-US,ja-JP,301021,驱逐,Destroyer,重樱,Sakura Empire,,,白雪,杉,
白露,Shiratsuyu,en-US,ja-JP,301131,驱逐,Destroyer,重樱,Sakura Empire,,,白露,梿,
白鳳,Hakuhou,en-US,ja-JP,307161,正航,Aircraft Carrier,重樱,Sakura Empire,,,白凤,䳆,
白龍,Hakuryuu,en-US,ja-JP,399051,正航,Aircraft Carrier,重樱,Sakura Empire,,,白龙,鹫,
百鬼あやめ,Nakiri Ayame,en-US,ja-JP,900803,重巡,Heavy Cruiser,联动阵营,Collab,,,百鬼绫目,,
睦月,Mutsuki,en-US,ja-JP,301321,驱逐,Destroyer,重樱,Sakura Empire,,,睦月,松,
磯風,Isokaze,en-US,ja-JP,301601,驱逐,Destroyer,重樱,Sakura Empire,,,矶风,柉,
神通,Jintsuu,en-US,ja-JP,302131,轻巡,Light Cruiser,重樱,Sakura Empire,,,神通,貎,
神通·META,Jintsuu META,en-US,ja-JP,900458,轻巡,Light Cruiser,META,META,META,,神通·META,貎·META,
神風,Kamikaze,en-US,ja-JP,301301,驱逐,Destroyer,重樱,Sakura Empire,,,神风,榊,
祥鳳,Shouhou,en-US,ja-JP,306051,轻航,Light Carrier,重樱,Sakura Empire,,,祥凤,鹞,
秋月律子,Ritsuko Akizuki,en-US,ja-JP,10700051,运输,Munition Ship,联动阵营,Collab,,,秋月律子,,
筑摩,Chikuma,en-US,ja-JP,303061,重巡,Heavy Cruiser,重樱,Sakura Empire,,,筑摩,狘,
