category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
04_story_title,剧情标题,MomoTalk.10033.281,温婉的重逢,優しい再会,溫柔的重逢,A Gentle Reunion,부드러운 재회,การพบกันอีกครั้ง,momotalk/10033.yml
04_story_title,剧情标题,MomoTalk.10033.282,共度单人约会,一緒にひとりデート,一起單人約會,A Solo Date Together,함께 하는 나 홀로 데이트,เดตตามลำพังของสองเรา,momotalk/10033.yml
04_story_title,剧情标题,MomoTalk.10033.283,扭曲的约会,歪なデート,變調的約會,A Date Gone Slightly Awry,조금은 일그러진 데이트,เดตที่ไม่เป็นไปอย่างที่คิด,momotalk/10033.yml
04_story_title,剧情标题,MomoTalk.10033.284,不会改变的心,変わらない心,不變的心,Unchanging Faith,절대로 변치 않는 믿음,ความเชื่อที่ไม่มีวันเสื่อมคลาย,momotalk/10033.yml
04_story_title,剧情标题,MomoTalk.10033.285,想要隐藏的真心,秘めたる心,,,"감추고 싶은 것, 그러나 알려졌으면 하는 것.",,momotalk/10033.yml
04_story_title,剧情标题,MomoTalk.10034.286,早上了哦，请起来吧？,朝ですよ、起きてください？,早上了唷，請起床？,Time to Rise and Shine,아침이에요. 일어나세요.,ได้เวลาตื่นแล้วนะคะ,momotalk/10034.yml
04_story_title,剧情标题,MomoTalk.10034.287,新娘修行其一：家庭料理篇,花嫁修行その１：家庭料理編,新娘修行其１：家庭料理篇,Etiquette I: The Home Cooking Episode,신부수행 Ⅰ : 가정요리 편,การฝึกของเลดี้ I: โฮมคุกกิ้ง,momotalk/10034.yml
04_story_title,剧情标题,MomoTalk.10034.288,新娘修行其二：扫除篇,花嫁修行その２：お掃除編,新娘修行其２：打掃篇,Etiquette II: The Cleaning Episode,신부수행 Ⅱ : 청소 편,การฝึกของเลดี้ II: ทำความสะอาด,momotalk/10034.yml
04_story_title,剧情标题,MomoTalk.10034.289,一针一线中，饱含心意,ひと針ひと針に、心を込めて,一針一線，一心一意,Heartfelt Embroidery,마음을 담아 수놓는 자수,การเย็บปักถักร้อยจากหัวใจ,momotalk/10034.yml
04_story_title,剧情标题,MomoTalk.10034.290,大和抚子的真心,大和撫子の本気,,,요조숙녀의 진심,,momotalk/10034.yml
04_story_title,剧情标题,MomoTalk.10035.291,古书馆的主人,古書館の主,古書館的主人,Director of the Old Library,고서관의 주인,เจ้าของห้องสมุดเก่า,momotalk/10035.yml
04_story_title,剧情标题,MomoTalk.10035.292,行踪不明的孩子是,行方不明の子は,尋找失蹤的孩子,Finding a Missing Child,실종된 아이 찾기,การค้นหาเด็กที่หายตัวไป,momotalk/10035.yml
04_story_title,剧情标题,MomoTalk.10035.293,突然的提案,突然の提案,突然的提案,A Sudden Proposal,갑작스러운 제안,ข้อเสนอที่กะทันหัน,momotalk/10035.yml
04_story_title,剧情标题,MomoTalk.10035.294,佚名,名前も無いまま,依然無名,Nameless Translator,이름 없는 번역가,นักแปลนิรนาม,momotalk/10035.yml
04_story_title,剧情标题,MomoTalk.10036.295,教堂的管理者,聖堂の管理者,教堂管理人,The Cathedral's Manager,성당의 관리자,ผู้ดูแลวิหาร,momotalk/10036.yml
04_story_title,剧情标题,MomoTalk.10036.296,过犹不及,過ぎたるは猶及ばざるが如し,過猶不及,Overpayment,과유불급,ความพอดีเป็นสิ่งที่ดีที่สุด,momotalk/10036.yml
04_story_title,剧情标题,MomoTalk.10036.297,在灌木丛中,茂みの中で,在草叢裡,Inside the Bushes,수풀 속에서,ในพุ่มไม้,momotalk/10036.yml
04_story_title,剧情标题,MomoTalk.10036.298,野餐要带的东西,ピクニックに持っていくもの,野餐該帶的東西,Picnic Bag,피크닉 가방,กระเป๋าปิกนิก,momotalk/10036.yml
04_story_title,剧情标题,MomoTalk.10036.299,包袱野餐,風呂敷ピクニック,野餐包袱布,A Picnic Blanket,피크닉 보자기,ผ้าห่อของปิกนิก,momotalk/10036.yml
04_story_title,剧情标题,MomoTalk.10037.300,保安委员长的审问,保安委員長の審問,保安委員長的審問,Security Committee Chair's Interrogation,보안위원장의 심문,การสอบสวนของหัวหน้าคณะฯ,momotalk/10037.yml
04_story_title,剧情标题,MomoTalk.10037.301,保安委员长的推理,保安委員長の推理,保安委員長的推理,Security Committee Chair's Reasoning,보안위원장의 추리,การสันนิษฐานของหัวหน้าคณะฯ,momotalk/10037.yml
04_story_title,剧情标题,MomoTalk.10037.302,保安委员长的清扫,保安委員長の掃除,保安委員長的打掃,Security Committee Chair's Cleaning,보안위원장의 청소,การทำความสะอาดของหัวหน้าคณะฯ,momotalk/10037.yml
04_story_title,剧情标题,MomoTalk.10037.303,保安委员长的误解,保安委員長の誤解,保安委員長的誤會,Security Committee Chair's Misunderstanding,보안위원장의 오해,ความเข้าใจผิดของหัวหน้าคณะฯ,momotalk/10037.yml
04_story_title,剧情标题,MomoTalk.10038.304,SRT，开始突入！,SRT、突入します！,SRT，突入！,"SRT, Charge!","SRT, 돌입합니다!",SRT เริ่มปฏิบัติการ!,momotalk/10038.yml
04_story_title,剧情标题,MomoTalk.10038.305,SRT，开始营救！,SRT、救出します！,SRT，救出！,SRT to the Rescue!,"SRT, 구출합니다!",SRT ปฏิบัติการกู้ภัย!,momotalk/10038.yml
04_story_title,剧情标题,MomoTalk.10038.306,SRT，开始保护！,SRT、保護します！,SRT，保護！,"SRT, Protect!","SRT, 보호합니다!",SRT ปฏิบัติการคุ้มกัน!,momotalk/10038.yml
04_story_title,剧情标题,MomoTalk.10038.307,SRT，开始空降！,SRT、降下します！,SRT，降落！,"SRT, Descend!","SRT, 강하합니다!",SRT ปฏิบัติการโดดร่ม!,momotalk/10038.yml
04_story_title,剧情标题,MomoTalk.10038.308,SRT，开始休息！,SRT、休憩します！,SRT，休息！,"SRT, Break!","SRT, 휴식합니다!",SRT หยุดพักผ่อน!,momotalk/10038.yml
04_story_title,剧情标题,MomoTalk.10038.309,SRT，开始回忆,SRT、思い出します,,,"SRT, 추억합니다.",,momotalk/10038.yml
04_story_title,剧情标题,MomoTalk.10039.310,RABBIT4，开始隐蔽,RABBIT4、隠れます,RABBIT4，要隱藏了,"RABBIT 4, Hide","RABBIT 4, 은신합니다.",RABBIT 4 ซ่อนตัว,momotalk/10039.yml
04_story_title,剧情标题,MomoTalk.10039.311,RABBIT4，开始出动,RABBIT4、出動します,RABBIT4，要出動了,"RABBIT 4, Mobilize","RABBIT 4, 출동합니다.",RABBIT 4 ออกปฏิบัติการ!,momotalk/10039.yml
04_story_title,剧情标题,MomoTalk.10039.312,RABBIT4，开始狙击,RABBIT4、狙撃します,RABBIT4，要狙擊了,"RABBIT 4, Shoot","RABBIT 4, 저격합니다.",RABBIT 4 จะยิงแล้วนะคะ,momotalk/10039.yml
04_story_title,剧情标题,MomoTalk.10039.313,RABBIT4，开始休息,RABBIT4、息抜きします,RABBIT4，要休息了,"RABBIT 4, Let's Rest","RABBIT 4, 휴식합니다.",RABBIT 4 หยุดพักผ่อนค่ะ,momotalk/10039.yml
04_story_title,剧情标题,MomoTalk.10039.314,RABBIT4，开始回忆,RABBIT4、思い出します,,,"RABBIT 4, 추억합니다.",,momotalk/10039.yml
04_story_title,剧情标题,MomoTalk.10040.315,成为独当一面的忍者……！,一人前の、忍者に……！,獨當一面的，忍者……！,I-I Want to Be an Official Ninja!,"어, 어엿한 닌자가 되고 싶어요!",ยะ... อยากเป็นนินจาที่องอาจค่ะ!,momotalk/10040.yml
04_story_title,剧情标题,MomoTalk.10040.316,也许不是坏事，吧,悪くないかも、です,也許，還不錯,Being Tall Isn't So Bad,"커, 커다란 게 나쁜 것만은 아니네요.",ระ... รูปร่างสูงใหญ่ก็ใช่ว่าจะไม่ดีนะคะ,momotalk/10040.yml
04_story_title,剧情标题,MomoTalk.10040.317,成为优秀的女忍……！,立派な、くノ一に……！,出色的，女忍者……！,Do You Think I Can Be a Great Kunoichi?,"저, 훌륭한 쿠노이치가 될 수 있을까요?!",ฉะ... ฉันจะเป็นคุโนะอิจิที่ยิ่งใหญ่ได้หรือเปล่าคะ?!,momotalk/10040.yml
04_story_title,剧情标题,MomoTalk.10040.318,作为忍者，大显身手的机会……！,忍者として、活躍するチャンス……！,作為忍者，活躍的機會……！,My Chance to Show My Ninja Skills!,"니, 닌자로서 활약할 기회예요!",ฉะ... ฉันจะเฉิดฉายในฐานะนินจาค่ะ!,momotalk/10040.yml
04_story_title,剧情标题,MomoTalk.10041.319,名为肉体的监牢,肉体という檻,名為肉體的牢籠,The Body Is a Prison,육체의 감옥,เรือนจำของร่างกาย,momotalk/10041.yml
04_story_title,剧情标题,MomoTalk.10041.320,不自由的身体,ままならない身体,不受控制的身體,Uncontrollable Body,통제 밖의 육체,ร่างกายที่อยู่นอกเหนือการควบคุม,momotalk/10041.yml
04_story_title,剧情标题,MomoTalk.10041.321,即使无法洗刷干净,綺麗にならなくても,就算無法變乾淨,Tough to Clean,씻기지 않는 것들,สิ่งที่ชำระล้างไม่ออก,momotalk/10041.yml
04_story_title,剧情标题,MomoTalk.10041.322,刻骨铭心的回忆,刻まれた思い出,,,손때 묻은 추억,,momotalk/10041.yml
04_story_title,剧情标题,MomoTalk.10042.323,废墟中的公主大人,廃墟の中のお姫様,廢墟中的公主,Princess in the Ruins,폐허 속의 공주님,องค์หญิงในพื้นที่รกร้าง,momotalk/10042.yml
04_story_title,剧情标题,MomoTalk.10042.324,深夜的学校,真夜中の学校,深夜的學校,Late Night at the Academy,한밤중의 학원,กลางดึกคืนหนึ่งที่โรงเรียน,momotalk/10042.yml
04_story_title,剧情标题,MomoTalk.10042.325,街边的花园,街の花園,街邊的花園,Street Garden,거리의 화원,สวนดอกไม้ริมทาง,momotalk/10042.yml
04_story_title,剧情标题,MomoTalk.10042.326,从今往后更多的,今よりもっとたくさん,比現在更多,Much More than Now,지금보다 더 많이,มากกว่าในตอนนี้,momotalk/10042.yml
04_story_title,剧情标题,MomoTalk.10043.327,只是为了您,ただあなた様のため,只為閣下,Because It's for You,그저 당신을 위한 마음에,ด้วยใจที่อยากมอบให้คุณ,momotalk/10043.yml
04_story_title,剧情标题,MomoTalk.10043.328,只想遵守约定,ただ約束を守りたくて,僅僅是想守護約定,To Keep a Promise,그저 약속을 지키고 싶단 마음에,ด้วยใจที่อยากรักษาสัญญา,momotalk/10043.yml
04_story_title,剧情标题,MomoTalk.10043.329,篝火旁闪烁的心,焚き火のそばでちらつく心,於營火旁閃爍的心意,A Fluttering Heart Near a Bonfire,모닥불 곁에서 어른거리는 마음에,ด้วยใจที่เลือนรางข้างกองไฟ,momotalk/10043.yml
04_story_title,剧情标题,MomoTalk.10044.330,偶尔这样的日子也不错,たまにはこういう日も,偶爾這種日子也,Sometimes on Days Like These,가끔은 이런 날도,วันดีๆ แบบวันนี้,momotalk/10044.yml
04_story_title,剧情标题,MomoTalk.10044.331,挑战摘椰子,ココナッツ採りに挑戦,挑戰採椰子,Coconut Harvest Challenge,코코넛 채취 도전,ลองเก็บมะพร้าว,momotalk/10044.yml
04_story_title,剧情标题,MomoTalk.10044.332,闪烁于砂上的星辰,砂上に輝く星,閃爍於砂上的星辰,Stars on the Sand,모래 위의 별들,ดาวบนหาดทราย,momotalk/10044.yml
04_story_title,剧情标题,MomoTalk.10045.333,隐藏于小岛的宝藏,隠されていた島の宝物,無人島的神祕寶物,Treasure of the Hidden Island,숨겨진 섬의 보물,สมบัติของเกาะที่ซ่อนอยู่,momotalk/10045.yml
04_story_title,剧情标题,MomoTalk.10045.334,产地直送的新鲜食材,産地直送の新鮮な食材,產地直送的新鮮食材,Farm Fresh Ingredients,산지 직송의 신선한 재료,วัตถุดิบสดใหม่จากแหล่งผลิต,momotalk/10045.yml
04_story_title,剧情标题,MomoTalk.10045.335,即使无法窥见其内心,その中を見ることはできずとも,儘管看不見內在,I Want to Read Your Mind,그 속을 직접 볼 순 없지만,อยากรู้ความคิดในใจ...,momotalk/10045.yml
04_story_title,剧情标题,MomoTalk.10046.336,和泉奈一起打西瓜！,イズナと一緒にスイカ割り！,和伊樹菜一起劈西瓜！,Crushing Watermelons with Izuna!,이즈나와 함께 수박 깨기!,ตีแตงโมกับอิซุนะ!,momotalk/10046.yml
04_story_title,剧情标题,MomoTalk.10046.337,和泉奈一起玩沙子！,イズナと一緒に砂遊び！,和伊樹菜一起玩沙！,Sand-Play with Izuna!,이즈나와 함께 모래 장난!,เล่นทรายกับอิซุนะ!,momotalk/10046.yml
04_story_title,剧情标题,MomoTalk.10046.338,和泉奈一起千钧一发！,イズナと一緒に危機一髪！,和伊樹菜一起千鈞一髮！,Escaping Crisis with Izuna!,이즈나와 함께 위기탈출!,หนีวิกฤตกับอิซุนะ!,momotalk/10046.yml
04_story_title,剧情标题,MomoTalk.10046.339,和泉奈一起手牵手,イズナと一緒に手を取り合って,和伊樹菜一起手牽手,Holding Hands with Izuna,이즈나와 함께 손을 잡고서,จับมือกับอิซุนะ,momotalk/10046.yml
04_story_title,剧情标题,MomoTalk.10047.340,想要找到闪闪发光,きらきらを見つけたい,尋找閃亮,Finding Sparkles,반짝임을 찾고 싶어,ตามหาแสงระยิบระยับ,momotalk/10047.yml
04_story_title,剧情标题,MomoTalk.10047.341,想给你看的东西,見せたいもの,想給你看的東西,What I Want to Show You,당신에게 보여주고 싶은 것,สิ่งที่อยากให้คุณได้เห็น,momotalk/10047.yml
04_story_title,剧情标题,MomoTalk.10047.342,闪闪发光的所在之处,きらきらの在り処,閃亮的所在之處,Where the Sparkles Are,"실은, 반짝임이 있던 곳은",ที่ที่มีแสงระยิบระยับ...,momotalk/10047.yml
04_story_title,剧情标题,MomoTalk.10047.343,回忆的宝箱,思い出の宝箱,,,추억의 보물상자,,momotalk/10047.yml
04_story_title,剧情标题,MomoTalk.10048.344,自力更生,独り立ち,獨立,Self-Reliance,홀로 서기,เชื่อมั่นในตนเอง,momotalk/10048.yml
04_story_title,剧情标题,MomoTalk.10048.345,百密一疏,見落とし,失誤,A Mistake,실수,ความผิดพลาด,momotalk/10048.yml
04_story_title,剧情标题,MomoTalk.10048.346,自责之念,自責の念,內疚,Blaming Yourself,자책,การตำหนิตัวเอง,momotalk/10048.yml
04_story_title,剧情标题,MomoTalk.10048.347,再无虚妄,虚しいものなどない,,,헛되지 않음의 증거,,momotalk/10048.yml
04_story_title,剧情标题,MomoTalk.10049.348,补习与甜品,補習授業とスイーツ,補課與甜點,Make-Up Work and Dessert,보충수업과 디저트,คาบเรียนเสริมกับของหวาน,momotalk/10049.yml
04_story_title,剧情标题,MomoTalk.10049.349,即便这样我也是放学后甜点部的一员,こう見えても放課後スイーツ部の一員,我好歹也是放學後的甜點部成員,After-School Sweets Club Member,이래 뵈도 방과후 디저트부의 일원,เห็นอย่างนี้ก็สมาชิกชมรมของหวานฯ นะ,momotalk/10049.yml
04_story_title,剧情标题,MomoTalk.10049.350,时不凑巧,バッドタイミング,Bad Timing,Bad Timing,나쁜 타이밍,จังหวะนรก,momotalk/10049.yml
04_story_title,剧情标题,MomoTalk.10049.351,猫舌,猫舌,貓舌頭,The Cat's Tongue,고양이 혀,ลิ้นแมว,momotalk/10049.yml
04_story_title,剧情标题,MomoTalk.10050.352,别叫我小心奈。叫我教官！,ココナちゃんじゃないです。教官なんです！,我不是心菜醬。我是教官！,It's not Kokona. It's Instructor Kokona!,코코나 쨩이 아니에요. 교관이라구요!,ไม่ใช่โคโคน่าจังนะคะ ผู้ฝึกสอนต่างหากค่ะ!,momotalk/10050.yml
04_story_title,剧情标题,MomoTalk.10050.353,才不是小孩子。我是淑女！,子どもではありません。レディーなんです！,我不是小孩子，我是淑女！,"Not a Girl, but a Lady!",어린 아이가 아니예요. 숙녀라구요!,ไม่ใช่เด็กเล็กนะคะ หญิงสาวต่างหากค่ะ!,momotalk/10050.yml
04_story_title,剧情标题,MomoTalk.10050.354,不管怎么说，讨厌的东西就是讨厌！,いくらなんでも嫌なものは嫌なんです！,不管怎麼說，討厭的東西就是討厭！,I Said I Hate It!,아무리 그래도 싫은 건 싫은 거예요!,ไม่ชอบก็คือไม่ชอบสิคะ!,momotalk/10050.yml
04_story_title,剧情标题,MomoTalk.10050.355,……就这一次哦。真的哦？,……今回だけですよ。本当ですよ？,……只有這次而已喔。真的喔。,"...Just This Once, Really!",……이번만이에요. 정말이라구요?,แค่ครั้งนี้ครั้งเดียวนะคะ... จริงๆ นะคะ,momotalk/10050.yml
04_story_title,剧情标题,MomoTalk.10051.356,热情的制服,情熱の学ラン,熱情的立領學生服,A Captain's Fashion Passion,불타는 단장의 가쿠란,กักคุรันของหัวหน้าสุดร้อนแรง,momotalk/10051.yml
04_story_title,剧情标题,MomoTalk.10051.357,热情的团体操,情熱のマスゲーム,熱情的團體操,A Captain's Moving Performance,불타는 단장의 매스게임,การแปรอักษรของหัวหน้าสุดร้อนแรง,momotalk/10051.yml
04_story_title,剧情标题,MomoTalk.10051.358,热情的应援魂,情熱の応援魂,熱情的應援魂,A Captain's Heaven-Piercing Cheer,불타는 단장의 응원혼,สปิริตการเชียร์ของหัวหน้าสุดร้อนแรง,momotalk/10051.yml
04_story_title,剧情标题,MomoTalk.10051.359,热情的应援歌,情熱の応援歌,熱情的應援歌,A Captain's Soul of Flaming...Passion?,불타는 단장의 응원가,เพลงเชียร์ของหัวหน้าสุดร้อนแรง,momotalk/10051.yml
04_story_title,剧情标题,MomoTalk.10052.360,研讨会书记诺亚的细致记录,セミナー書記ノアの細やかなる記録,研討會書記乃愛的細心紀錄,The Secretary is in the Details,세미나 서기 노아의 세심한 기록,บันทึกสุดละเอียดของโนอา เลขาแห่งเซมิน่า,momotalk/10052.yml
04_story_title,剧情标题,MomoTalk.10052.361,研讨会书记诺亚的坏心眼观察,セミナー書記ノアの意地悪な観察,研討會書記乃愛的惡毒觀察,The Secretary Becomes the Teacher,세미나 서기 노아의 짓궂은 관찰,การสังเกตที่แสนซุกซนของโนอา เลขาแห่งเซมิน่า,momotalk/10052.yml
04_story_title,剧情标题,MomoTalk.10052.362,研讨会书记诺亚的平凡日常,セミナー書記ノアの平凡な日課,研討會書記乃愛的平凡日常,The Daily Life of Secretary Noa,세미나 서기 노아의 평범한 일과,กิจวัตรประจำวันของโนอา เลขาแห่งเซมิน่า,momotalk/10052.yml
04_story_title,剧情标题,MomoTalk.10052.363,研讨会书记诺亚的无趣歇息,セミナー書記ノアの退屈な休憩,研討會書記乃愛的無聊休憩,The Daily Life of Ushio Noa,세미나 서기 노아의 심심한 휴식,การพักเหนื่อยของโนอา เลขาแห่งเซมิน่า,momotalk/10052.yml
04_story_title,剧情标题,MomoTalk.10053.364,晨跑,朝のジョギング,晨跑,Morning Jog,아침 조깅,จ๊อกกิ้งตอนเช้า,momotalk/10053.yml
04_story_title,剧情标题,MomoTalk.10053.365,科学的料理秘诀,科学的な料理の秘訣,科學的烹飪秘訣,The Secrets of Scientific Cooking,과학적인 요리 비결,สูตรอาหารลับฉบับวิทยาศาสตร์,momotalk/10053.yml
04_story_title,剧情标题,MomoTalk.10053.366,理性的应援文化,理性的な応援文化,理性的應援文化,Rational Cheer Culture,이성적인 응원 문화,วัฒนธรรมการเชียร์ที่มีวิจารณญาณ,momotalk/10053.yml
04_story_title,剧情标题,MomoTalk.10053.367,体育集换卡,スポーツカード,運動員卡,Sports Card,스포츠 카드,การ์ดกีฬา,momotalk/10053.yml
04_story_title,剧情标题,MomoTalk.10054.368,不习惯的着装,慣れない装い,不習慣的服裝,An Unfamiliar Uniform,익숙지 않은 복장,ชุดที่ไม่คุ้นเคย,momotalk/10054.yml
04_story_title,剧情标题,MomoTalk.10054.369,长椅一隅的修女,ベンチの片隅の修道女,長椅角落的修女,Sister on the Bench,벤치 위의 시스터,ซิสเตอร์บนม้านั่ง,momotalk/10054.yml
04_story_title,剧情标题,MomoTalk.10054.370,玛丽的谢礼,マリーのお礼,瑪麗的回禮,Mari's Repayment,마리의 답례,การตอบแทนของมารี,momotalk/10054.yml
04_story_title,剧情标题,MomoTalk.10055.371,若无其事地,さりげなく,若無其事,Discretely,은근하게,อย่างเนียนๆ,momotalk/10055.yml
04_story_title,剧情标题,MomoTalk.10055.372,泰然自若地,しれっと,泰然自若,Slyly,능청맞게,อย่างมีเล่ห์เหลี่ยม,momotalk/10055.yml
04_story_title,剧情标题,MomoTalk.10055.373,悠闲地,まったりと,悠悠哉哉,Intimately,오붓하게,อย่างกลมเกลียว,momotalk/10055.yml
04_story_title,剧情标题,MomoTalk.10055.374,直率地,素直に,天真直率,Frankly,솔직하게,อย่างตรงไปตรงมา,momotalk/10055.yml
04_story_title,剧情标题,MomoTalk.10056.375,圣诞姐姐芹娜,サンタのセリナ,聖誕老人芹奈,Serina on a Holy Night,성야에도 언제나 세리나,เซรินะในคืนศักดิ์สิทธิ์,momotalk/10056.yml
04_story_title,剧情标题,MomoTalk.10056.376,围巾的回礼,マフラーのお礼,圍巾的回禮,A Gift Prepared in Earnest,정말로 준비한 선물,ของขวัญที่เตรียมมาจริงๆ,momotalk/10056.yml
04_story_title,剧情标题,MomoTalk.10056.377,救护骑士团的一日体验,1日救護騎士団体験,一日救護騎士團體驗,The Remedial Knights Experience,구호기사단 일일 체험,ประสบการณ์ประจำวัน ของชมรมอัศวินบรรเทาทุกข์,momotalk/10056.yml
04_story_title,剧情标题,MomoTalk.10057.378,年底要安稳地度过,年の瀬は穏やかに,年關就該安穩度過,Off the Rails. But Only Sometimes.,가끔은 상궤를 벗어나,บางครั้งก็จะแหกกฏหน่อยๆ,momotalk/10057.yml
04_story_title,剧情标题,MomoTalk.10057.379,结果在过程中,結果は過程の中に,結果在過程之中,The Means and the Ends,결과만큼이나 과정도 중요하죠,ขั้นตอนก็สำคัญเหมือนกับผลลัพธ์นะคะ,momotalk/10057.yml
04_story_title,剧情标题,MomoTalk.10057.380,美食所必需的条件。那即为料理、季节……,美食を満たす要件。それは料理、季節……,美食成立的要件是料理、季節……,The Four Elements of Gastronomy,"미식의 요소는 요리, 시기, 상대. 그리고……",สิ่งสำคัญของอาหารเลิศรสคือ อาหาร ช่วงเวลา เพื่อนร่วมโต๊ะ และ...,momotalk/10057.yml
04_story_title,剧情标题,MomoTalk.10058.381,救护的精神,救護の精神,救護的精神,Far and Wide,그 뜻을 보다 널리,ขยายความหมายให้ยิ่งใหญ่ขึ้น,momotalk/10058.yml
04_story_title,剧情标题,MomoTalk.10058.382,兴趣与实际利益,趣味と実益,興趣與實際利益,The Realm of Hobbies,취미의 영역,อาณาจักรแห่งงานอดิเรก,momotalk/10058.yml
04_story_title,剧情标题,MomoTalk.10058.383,下午茶,アフタヌーンティー,下午茶,Afternoon Tea,애프터눈 티,ชายามบ่าย,momotalk/10058.yml
04_story_title,剧情标题,MomoTalk.10058.384,「救护」应有的方式,「救護」の在り方,「救護」的形式,Where Aid Is Needed,구호가 필요한 자리,คนที่ต้องการให้ช่วยบรรเทาทุกข์,momotalk/10058.yml
04_story_title,剧情标题,MomoTalk.10059.385,重归平稳的日常,再び穏やかな日常へ,再次回歸平穩的日常,Back to Daily Life,다시 일상으로,กลับมาเป็นปกติอีกครั้ง,momotalk/10059.yml
04_story_title,剧情标题,MomoTalk.10059.386,义务劳动,ボランティア活動,志工活動,Volunteer Activities,봉사 활동,กิจกรรมอาสา,momotalk/10059.yml
04_story_title,剧情标题,MomoTalk.10059.387,阁楼里的公主殿下,屋根裏部屋のお姫様,閣樓裡的公主,The Princess of the Attic,다락방의 공주님,เจ้าหญิงในห้องใต้หลังคา,momotalk/10059.yml
04_story_title,剧情标题,MomoTalk.10059.388,伤痕,きずあと,傷痕,Wounds and Scars,상처와 흉터,บาดแผลและแผลเป็น,momotalk/10059.yml
04_story_title,剧情标题,MomoTalk.10060.389,嘎吱嘎吱君的残骸,ゴリゴリ君の残骸,咯哩咯哩君的殘骸,Morimori Stack,쌓여가는 모리모리군,โมริโมริคุงกองสูง,momotalk/10060.yml
04_story_title,剧情标题,MomoTalk.10060.390,无法「等待」的女孩,「待て」ができない女の子,無法「等待」的女孩,How to Relax,얌전하게 시간 보내는 법,วิธีใช้เวลาอย่างสงบสุข,momotalk/10060.yml
04_story_title,剧情标题,MomoTalk.10060.391,交给温泉开发部吧！,温泉開発部にお任せ！,交給溫泉開發部吧！,The Business of the Hot Springs Department,온천개발부의 일,งานของชมรมพัฒนาออนเซ็น,momotalk/10060.yml
04_story_title,剧情标题,MomoTalk.10060.392,温泉与拉面的关系,温泉とラーメンのつながり,溫泉與湯麵的關聯,Ramen and Hot Springs,라면과 온천의 상관관계,ความเกี่ยวข้องของราเม็งกับออนเซ็น,momotalk/10060.yml
04_story_title,剧情标题,MomoTalk.10061.393,易招误解的人,誤解されやすい人,容易被誤會的人,Easily Misunderstood,오해 받기 쉬운 사람,คนที่ถูกเข้าใจผิดได้ง่าย,momotalk/10061.yml
04_story_title,剧情标题,MomoTalk.10061.394,「流行」,「流行」,「流行」,Catching Up on the Trends,트렌드 따라잡기,ตามเทรนด์,momotalk/10061.yml
04_story_title,剧情标题,MomoTalk.10061.395,秘密的夜晚,秘密の夜,秘密的夜晚,Walking the Halls,내부 회랑 산책,เดินเล่นในทางเชื่อมภายใน,momotalk/10061.yml
04_story_title,剧情标题,MomoTalk.10061.396,意外的兴趣,意外な趣味,意外的興趣,An Unexpected Hobby,의외의 취미,งานอดิเรกที่คาดไม่ถึง,momotalk/10061.yml
04_story_title,剧情标题,MomoTalk.10061.397,说明的场合,説明の場,說明的場合,Proof of Good Intent,해명의 자리,ตำแหน่งที่ชี้แจ้ง,momotalk/10061.yml
04_story_title,剧情标题,MomoTalk.10062.398,时的每日工作,トキの日課,季的每日任務,Daily Chores,평소의 일과,กิจวัตรประจำวัน,momotalk/10062.yml
04_story_title,剧情标题,MomoTalk.10062.399,普通的校园生活,普通の学園生活,普通的學園生活,Academy Life,학원 생활,ชีวิตในโรงเรียน,momotalk/10062.yml
04_story_title,剧情标题,MomoTalk.10062.400,兴趣的烦恼,趣味の悩み,對興趣的煩惱,Concerning Hobbies,취미에 대한 고민,ความกังวลเรื่องงานอดิเรก,momotalk/10062.yml
04_story_title,剧情标题,MomoTalk.10062.401,女仆中的女仆,メイドの中のメイド,女僕中的女僕,A Day's Tardiness,어느 날의 사소한 지각,ความรู้สึกเล็กน้อยในวันหนึ่ง,momotalk/10062.yml
04_story_title,剧情标题,MomoTalk.10062.402,连结的证明,繋がりの証,,,연결의 증표,,momotalk/10062.yml
04_story_title,剧情标题,MomoTalk.10063.403,禁闭室的住客,反省部屋の住人,禁閉室的住民,,반성실의 입주자,,momotalk/10063.yml
04_story_title,剧情标题,MomoTalk.10063.404,潘多拉的魔盒(1),パンドラの箱（１）,潘朵拉的盒子(1),,판도라의 상자 1,,momotalk/10063.yml
04_story_title,剧情标题,MomoTalk.10063.405,潘多拉的魔盒(2),パンドラの箱（２）,潘朵拉的盒子(2),,판도라의 상자 2,,momotalk/10063.yml
04_story_title,剧情标题,MomoTalk.10063.406,日常举止,日頃の行い,平日的行為舉止,,평소의 행실,,momotalk/10063.yml
04_story_title,剧情标题,MomoTalk.10063.407,幸运之证,幸運の証,幸運的證明,,그편이 즐거우니까,,momotalk/10063.yml
04_story_title,剧情标题,MomoTalk.10064.408,加深的误解,深まる誤解,,,또 다른 오해,,momotalk/10064.yml
04_story_title,剧情标题,MomoTalk.10064.409,新年的钟声,新年の鐘音,,,새해의 종소리,,momotalk/10064.yml
04_story_title,剧情标题,MomoTalk.10064.410,猫与佳代子与甜酒与,猫とカヨコと甘酒と,,,감주와 고양이,,momotalk/10064.yml
04_story_title,剧情标题,MomoTalk.10064.411,压力消除法,ストレス解消法,,,스트레스 해소법,,momotalk/10064.yml
